GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
1400000US06001400100,06001400100,"Census Tract 4001, Alameda County, California",165625,30598
1400000US06001400200,06001400200,"Census Tract 4002, Alameda County, California",134531,15310
1400000US06001400300,06001400300,"Census Tract 4003, Alameda County, California",71618,22805
1400000US06001400400,06001400400,"Census Tract 4004, Alameda County, California",98824,12941
1400000US06001400500,06001400500,"Census Tract 4005, Alameda County, California",73837,5174
1400000US06001400600,06001400600,"Census Tract 4006, Alameda County, California",57639,8753
1400000US06001400700,06001400700,"Census Tract 4007, Alameda County, California",41023,6010
1400000US06001400800,06001400800,"Census Tract 4008, Alameda County, California",59018,7255
1400000US06001400900,06001400900,"Census Tract 4009, Alameda County, California",60089,7403
1400000US06001401000,06001401000,"Census Tract 4010, Alameda County, California",38403,12254
1400000US06001401100,06001401100,"Census Tract 4011, Alameda County, California",56401,7636
1400000US06001401200,06001401200,"Census Tract 4012, Alameda County, California",76897,11278
1400000US06001401300,06001401300,"Census Tract 4013, Alameda County, California",36782,3375
1400000US06001401400,06001401400,"Census Tract 4014, Alameda County, California",30023,9642
1400000US06001401500,06001401500,"Census Tract 4015, Alameda County, California",44728,8740
1400000US06001401600,06001401600,"Census Tract 4016, Alameda County, California",31280,9701
1400000US06001401700,06001401700,"Census Tract 4017, Alameda County, California",61563,30368
1400000US06001401800,06001401800,"Census Tract 4018, Alameda County, California",31125,4773
1400000US06001402200,06001402200,"Census Tract 4022, Alameda County, California",36224,6534
1400000US06001402400,06001402400,"Census Tract 4024, Alameda County, California",28606,2687
1400000US06001402500,06001402500,"Census Tract 4025, Alameda County, California",18967,6031
1400000US06001402600,06001402600,"Census Tract 4026, Alameda County, California",20259,2077
1400000US06001402700,06001402700,"Census Tract 4027, Alameda County, California",33125,29100
1400000US06001402800,06001402800,"Census Tract 4028, Alameda County, California",20534,7167
1400000US06001402900,06001402900,"Census Tract 4029, Alameda County, California",23825,2789
1400000US06001403000,06001403000,"Census Tract 4030, Alameda County, California",16469,3146
1400000US06001403100,06001403100,"Census Tract 4031, Alameda County, California",53750,24480
1400000US06001403300,06001403300,"Census Tract 4033, Alameda County, California",60893,19845
1400000US06001403400,06001403400,"Census Tract 4034, Alameda County, California",38109,5817
1400000US06001403501,06001403501,"Census Tract 4035.01, Alameda County, California",37454,9656
1400000US06001403502,06001403502,"Census Tract 4035.02, Alameda County, California",52054,8594
1400000US06001403600,06001403600,"Census Tract 4036, Alameda County, California",62617,9762
1400000US06001403701,06001403701,"Census Tract 4037.01, Alameda County, California",59564,8988
1400000US06001403702,06001403702,"Census Tract 4037.02, Alameda County, California",73636,19937
1400000US06001403800,06001403800,"Census Tract 4038, Alameda County, California",85819,10203
1400000US06001403900,06001403900,"Census Tract 4039, Alameda County, California",57333,8085
1400000US06001404000,06001404000,"Census Tract 4040, Alameda County, California",72059,10916
1400000US06001404101,06001404101,"Census Tract 4041.01, Alameda County, California",68403,13212
1400000US06001404102,06001404102,"Census Tract 4041.02, Alameda County, California",57482,10486
1400000US06001404200,06001404200,"Census Tract 4042, Alameda County, California",150391,12715
1400000US06001404300,06001404300,"Census Tract 4043, Alameda County, California",176406,18331
1400000US06001404400,06001404400,"Census Tract 4044, Alameda County, California",135318,21095
1400000US06001404501,06001404501,"Census Tract 4045.01, Alameda County, California",172500,15277
1400000US06001404502,06001404502,"Census Tract 4045.02, Alameda County, California",126278,13983
1400000US06001404600,06001404600,"Census Tract 4046, Alameda County, California",155982,12447
1400000US06001404700,06001404700,"Census Tract 4047, Alameda County, California",145500,26979
1400000US06001404800,06001404800,"Census Tract 4048, Alameda County, California",49167,7660
1400000US06001404900,06001404900,"Census Tract 4049, Alameda County, California",69046,6838
1400000US06001405000,06001405000,"Census Tract 4050, Alameda County, California",106964,25143
1400000US06001405100,06001405100,"Census Tract 4051, Alameda County, California",188726,9800
1400000US06001405200,06001405200,"Census Tract 4052, Alameda County, California",65404,4585
1400000US06001405301,06001405301,"Census Tract 4053.01, Alameda County, California",51341,10444
1400000US06001405302,06001405302,"Census Tract 4053.02, Alameda County, California",29671,8072
1400000US06001405401,06001405401,"Census Tract 4054.01, Alameda County, California",31599,4197
1400000US06001405402,06001405402,"Census Tract 4054.02, Alameda County, California",27899,4059
1400000US06001405500,06001405500,"Census Tract 4055, Alameda County, California",38603,7867
1400000US06001405600,06001405600,"Census Tract 4056, Alameda County, California",49146,9202
1400000US06001405700,06001405700,"Census Tract 4057, Alameda County, California",42089,4420
1400000US06001405800,06001405800,"Census Tract 4058, Alameda County, California",47452,8720
1400000US06001405901,06001405901,"Census Tract 4059.01, Alameda County, California",32548,7865
1400000US06001405902,06001405902,"Census Tract 4059.02, Alameda County, California",39542,8318
1400000US06001406000,06001406000,"Census Tract 4060, Alameda County, California",19528,3314
1400000US06001406100,06001406100,"Census Tract 4061, Alameda County, California",56250,11705
1400000US06001406201,06001406201,"Census Tract 4062.01, Alameda County, California",34176,5932
1400000US06001406202,06001406202,"Census Tract 4062.02, Alameda County, California",30205,6585
1400000US06001406300,06001406300,"Census Tract 4063, Alameda County, California",39458,6514
1400000US06001406400,06001406400,"Census Tract 4064, Alameda County, California",55563,10259
1400000US06001406500,06001406500,"Census Tract 4065, Alameda County, California",44926,5766
1400000US06001406601,06001406601,"Census Tract 4066.01, Alameda County, California",49856,9305
1400000US06001406602,06001406602,"Census Tract 4066.02, Alameda County, California",51601,12170
1400000US06001406700,06001406700,"Census Tract 4067, Alameda County, California",83884,19834
1400000US06001406800,06001406800,"Census Tract 4068, Alameda County, California",86307,15657
1400000US06001406900,06001406900,"Census Tract 4069, Alameda County, California",68566,9137
1400000US06001407000,06001407000,"Census Tract 4070, Alameda County, California",40217,15540
1400000US06001407101,06001407101,"Census Tract 4071.01, Alameda County, California",31280,11960
1400000US06001407102,06001407102,"Census Tract 4071.02, Alameda County, California",47315,9184
1400000US06001407200,06001407200,"Census Tract 4072, Alameda County, California",36359,3964
1400000US06001407300,06001407300,"Census Tract 4073, Alameda County, California",57411,15729
1400000US06001407400,06001407400,"Census Tract 4074, Alameda County, California",38716,5454
1400000US06001407500,06001407500,"Census Tract 4075, Alameda County, California",21654,4522
1400000US06001407600,06001407600,"Census Tract 4076, Alameda County, California",53605,7477
1400000US06001407700,06001407700,"Census Tract 4077, Alameda County, California",72585,8033
1400000US06001407800,06001407800,"Census Tract 4078, Alameda County, California",67148,14474
1400000US06001407900,06001407900,"Census Tract 4079, Alameda County, California",83806,11328
1400000US06001408000,06001408000,"Census Tract 4080, Alameda County, California",125515,21421
1400000US06001408100,06001408100,"Census Tract 4081, Alameda County, California",104451,13188
1400000US06001408200,06001408200,"Census Tract 4082, Alameda County, California",50417,9556
1400000US06001408300,06001408300,"Census Tract 4083, Alameda County, California",78534,18944
1400000US06001408400,06001408400,"Census Tract 4084, Alameda County, California",26056,2471
1400000US06001408500,06001408500,"Census Tract 4085, Alameda County, California",40573,6464
1400000US06001408600,06001408600,"Census Tract 4086, Alameda County, California",30612,7575
1400000US06001408700,06001408700,"Census Tract 4087, Alameda County, California",39368,9191
1400000US06001408800,06001408800,"Census Tract 4088, Alameda County, California",26926,4011
1400000US06001408900,06001408900,"Census Tract 4089, Alameda County, California",22925,3997
1400000US06001409000,06001409000,"Census Tract 4090, Alameda County, California",47805,10861
1400000US06001409100,06001409100,"Census Tract 4091, Alameda County, California",35000,10072
1400000US06001409200,06001409200,"Census Tract 4092, Alameda County, California",43750,10293
1400000US06001409300,06001409300,"Census Tract 4093, Alameda County, California",34788,4927
1400000US06001409400,06001409400,"Census Tract 4094, Alameda County, California",37377,8905
1400000US06001409500,06001409500,"Census Tract 4095, Alameda County, California",30019,3341
1400000US06001409600,06001409600,"Census Tract 4096, Alameda County, California",34112,5481
1400000US06001409700,06001409700,"Census Tract 4097, Alameda County, California",36472,3796
1400000US06001409800,06001409800,"Census Tract 4098, Alameda County, California",61667,9973
1400000US06001409900,06001409900,"Census Tract 4099, Alameda County, California",104410,21393
1400000US06001410000,06001410000,"Census Tract 4100, Alameda County, California",107113,18122
1400000US06001410100,06001410100,"Census Tract 4101, Alameda County, California",39256,14319
1400000US06001410200,06001410200,"Census Tract 4102, Alameda County, California",47155,11621
1400000US06001410300,06001410300,"Census Tract 4103, Alameda County, California",36012,6140
1400000US06001410400,06001410400,"Census Tract 4104, Alameda County, California",64432,9824
1400000US06001410500,06001410500,"Census Tract 4105, Alameda County, California",21389,4203
1400000US06001420100,06001420100,"Census Tract 4201, Alameda County, California",109318,24440
1400000US06001420200,06001420200,"Census Tract 4202, Alameda County, California",90388,22038
1400000US06001420300,06001420300,"Census Tract 4203, Alameda County, California",84835,5732
1400000US06001420400,06001420400,"Census Tract 4204, Alameda County, California",42061,6394
1400000US06001420500,06001420500,"Census Tract 4205, Alameda County, California",78194,16412
1400000US06001420600,06001420600,"Census Tract 4206, Alameda County, California",110152,7999
1400000US06001421100,06001421100,"Census Tract 4211, Alameda County, California",157250,38228
1400000US06001421200,06001421200,"Census Tract 4212, Alameda County, California",151806,21994
1400000US06001421300,06001421300,"Census Tract 4213, Alameda County, California",124688,21955
1400000US06001421400,06001421400,"Census Tract 4214, Alameda County, California",139073,16786
1400000US06001421500,06001421500,"Census Tract 4215, Alameda County, California",141726,24102
1400000US06001421600,06001421600,"Census Tract 4216, Alameda County, California",125250,25327
1400000US06001421700,06001421700,"Census Tract 4217, Alameda County, California",75568,9488
1400000US06001421800,06001421800,"Census Tract 4218, Alameda County, California",101250,22832
1400000US06001421900,06001421900,"Census Tract 4219, Alameda County, California",105128,15047
1400000US06001422000,06001422000,"Census Tract 4220, Alameda County, California",51283,11548
1400000US06001422100,06001422100,"Census Tract 4221, Alameda County, California",57850,12119
1400000US06001422200,06001422200,"Census Tract 4222, Alameda County, California",66061,8319
1400000US06001422300,06001422300,"Census Tract 4223, Alameda County, California",53576,7875
1400000US06001422400,06001422400,"Census Tract 4224, Alameda County, California",45723,10663
1400000US06001422500,06001422500,"Census Tract 4225, Alameda County, California",45882,12325
1400000US06001422600,06001422600,"Census Tract 4226, Alameda County, California",-,**
