site,monitor,date,start_hour,value,variable,units,quality,prelim,name 
2849,-,2016-04-30,0,22.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,1,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,2,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,3,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,4,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,5,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,6,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,7,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,8,6.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,9,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,10,17.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,11,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,12,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,13,21.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,14,17.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,15,21.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,16,17.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,17,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,18,15.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,19,18.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,20,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,21,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,22,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2849,-,2016-04-30,23,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Glendora-Laurel 
2899,-,2016-04-30,0,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,1,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,2,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,3,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,4,16.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,5,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,6,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,7,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,8,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,9,15.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,10,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,11,17.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,12,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,13,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,14,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,15,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,16,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,17,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,18,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,19,7.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,20,8.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,21,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,22,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2899,-,2016-04-30,23,15.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Los Angeles-North Main Street 
2420,-,2016-04-30,0,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,1,18.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,2,18.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,3,13.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,4,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,5,17.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,6,16.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,7,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,8,16.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,9,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,10,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,11,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,12,9.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,13,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,14,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,15,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,16,12.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,17,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,18,10.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,19,14.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,20,18.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,21,19.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,22,19.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
2420,-,2016-04-30,23,17.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Reseda 
3502,-,2016-04-30,0,11.00,PM25HR,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),0,y,Santa Clarita 
