,AFFGEOID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME.1,LSAD,ALAND,AWATER,AREA,PERIMETER,CAABA_,CAABA_ID,NAME.2,Total,White,Black,AIndian,Asian,Hawaiian,Max,residuals,div,Diversity,mean.partmat
12,1400000US06037102105,6,37,102105,6037102105,1021.05,CT,492761,0,18037550502,1379632.843,19,18,South Coast,1880,1249,37,5,131,0,1249,-1484.697429,0.664361702,0.335638298,12.01792401
31,1400000US06037104500,6,37,104500,6037104500,1045,CT,531002,0,18037550502,1379632.843,19,18,South Coast,2906,2311,0,0,5,0,2311,-431.8764666,0.795251204,0.204748796,11.98739166
39,1400000US06037104822,6,37,104822,6037104822,1048.22,CT,604352,0,18037550502,1379632.843,19,18,South Coast,2228,1533,5,23,156,0,1533,-1208.636056,0.688061041,0.311938959,12.21509104
56,1400000US06037106642,6,37,106642,6037106642,1066.42,CT,1577594,0,18037550502,1379632.843,19,18,South Coast,3323,2456,48,0,290,0,2456,-274.9685253,0.739091183,0.260908817,11.94470257
75,1400000US06037109601,6,37,109601,6037109601,1096.01,CT,2214559,33284,18037550502,1379632.843,19,18,South Coast,5285,3085,113,51,771,0,3085,370.1568118,0.583727531,0.416272469,12.06079059
80,1400000US06037111100,6,37,111100,6037111100,1111,CT,1059245,0,18037550502,1379632.843,19,18,South Coast,3017,1670,222,0,464,0,1670,-1017.802238,0.553529997,0.446470003,12.27247049
92,1400000US06037113212,6,37,113212,6037113212,1132.12,CT,998550,0,18037550502,1379632.843,19,18,South Coast,3299,2022,89,8,711,0,2022,-698.7971588,0.612913004,0.387086996,12.24263932
111,1400000US06037115202,6,37,115202,6037115202,1152.02,CT,1737514,3837,18037550502,1379632.843,19,18,South Coast,4808,2854,288,0,857,0,2854,182.571181,0.59359401,0.40640599,13.13110788
133,1400000US06037119201,6,37,119201,6037119201,1192.01,CT,947373,4796,18037550502,1379632.843,19,18,South Coast,4019,2917,11,7,200,0,2917,176.8524366,0.725802438,0.274197562,12.31495971
142,1400000US06037119800,6,37,119800,6037119800,1198,CT,1236126,5942,18037550502,1379632.843,19,18,South Coast,6239,3182,35,175,628,0,3182,447.8064073,0.510017631,0.489982369,12.41379132
146,1400000US06037120030,6,37,120030,6037120030,1200.3,CT,358619,0,18037550502,1379632.843,19,18,South Coast,2727,1399,72,0,177,0,1399,-1326.014555,0.513017968,0.486982032,12.71823444
157,1400000US06037121101,6,37,121101,6037121101,1211.01,CT,472252,0,18037550502,1379632.843,19,18,South Coast,3298,2508,70,33,361,0,2508,-217.5107189,0.760460885,0.239539115,12.00678778
162,1400000US06037121600,6,37,121600,6037121600,1216,CT,1139500,0,18037550502,1379632.843,19,18,South Coast,2634,1663,96,0,538,0,1663,-1056.060584,0.63135915,0.36864085,12.44280076
177,1400000US06037123203,6,37,123203,6037123203,1232.03,CT,583709,3900,18037550502,1379632.843,19,18,South Coast,3715,1788,187,34,200,0,1788,-908.4851121,0.481292059,0.518707941,12.41786542
184,1400000US06037123410,6,37,123410,6037123410,1234.1,CT,488725,8391,18037550502,1379632.843,19,18,South Coast,4091,2383,247,113,247,42,2383,-298.6001855,0.582498167,0.417501833,12.69268246
196,1400000US06037124103,6,37,124103,6037124103,1241.03,CT,323950,0,18037550502,1379632.843,19,18,South Coast,2200,967,44,62,379,0,967,-1764.960854,0.439545455,0.560454545,12.35321413
228,1400000US06037127605,6,37,127605,6037127605,1276.05,CT,644917,3699,18037550502,1379632.843,19,18,South Coast,3620,1230,180,12,408,0,1230,-1468.221687,0.339779006,0.660220994,13.25671715
233,1400000US06037127804,6,37,127804,6037127804,1278.04,CT,638158,0,18037550502,1379632.843,19,18,South Coast,3952,1717,244,8,349,0,1717,-965.3444319,0.434463563,0.565536437,13.01259595
240,1400000US06037128210,6,37,128210,6037128210,1282.1,CT,549953,0,18037550502,1379632.843,19,18,South Coast,5575,1630,349,26,159,0,1630,-1026.29581,0.292376682,0.707623318,12.9206585
269,1400000US06037132502,6,37,132502,6037132502,1325.02,CT,614443,10361,18037550502,1379632.843,19,18,South Coast,4024,2721,203,0,505,0,2721,28.48420166,0.676192843,0.323807157,13.76711794
274,1400000US06037134001,6,37,134001,6037134001,1340.01,CT,581333,2186,18037550502,1379632.843,19,18,South Coast,3878,2440,79,0,274,0,2440,-283.2779799,0.629190304,0.370809696,13.40280746
291,1400000US06037134522,6,37,134522,6037134522,1345.22,CT,615306,0,18037550502,1379632.843,19,18,South Coast,3959,2296,71,44,199,0,2296,-429.2626368,0.57994443,0.42005557,13.23758404
296,1400000US06037134903,6,37,134903,6037134903,1349.03,CT,564484,1794,18037550502,1379632.843,19,18,South Coast,5208,3430,279,0,877,32,3430,756.338442,0.658602151,0.341397849,13.23758404
318,1400000US06037139001,6,37,139001,6037139001,1390.01,CT,1239789,0,18037550502,1379632.843,19,18,South Coast,4743,3574,144,0,484,0,3574,866.8473572,0.75353152,0.24646848,13.59678309
323,1400000US06037139401,6,37,139401,6037139401,1394.01,CT,907259,0,18037550502,1379632.843,19,18,South Coast,2976,1859,121,0,72,0,1859,-853.8585313,0.624663978,0.375336022,13.59482137
327,1400000US06037139504,6,37,139504,6037139504,1395.04,CT,289067,0,18037550502,1379632.843,19,18,South Coast,3576,3080,107,0,59,0,3080,363.6683191,0.861297539,0.138702461,13.5189621
336,1400000US06037141201,6,37,141201,6037141201,1412.01,CT,693120,7927,18037550502,1379632.843,19,18,South Coast,3880,3103,84,7,330,0,3103,380.9624306,0.799742268,0.200257732,12.92920743
346,1400000US06037143200,6,37,143200,6037143200,1432,CT,957094,0,18037550502,1379632.843,19,18,South Coast,4090,2982,266,0,236,0,2982,305.1133746,0.729095355,0.270904645,12.38412199
366,1400000US06037183221,6,37,183221,6037183221,1832.21,CT,706764,0,18037550502,1379632.843,19,18,South Coast,3015,1912,19,32,177,6,1912,-826.1629065,0.634162521,0.365837479,11.46097882
378,1400000US06037183820,6,37,183820,6037183820,1838.2,CT,308656,0,18037550502,1379632.843,19,18,South Coast,3920,1583,75,19,112,0,1583,-1141.270308,0.403826531,0.596173469,11.36204392
393,1400000US06037186404,6,37,186404,6037186404,1864.04,CT,401149,0,18037550502,1379632.843,19,18,South Coast,2600,1077,19,80,186,39,1077,-1661.162906,0.414230769,0.585769231,11.41881788
414,1400000US06037189903,6,37,189903,6037189903,1899.03,CT,83969,0,18037550502,1379632.843,19,18,South Coast,2086,1524,145,0,170,0,1524,-1182.904561,0.730584851,0.269415149,12.04020341
422,1400000US06037190402,6,37,190402,6037190402,1904.02,CT,157146,0,18037550502,1379632.843,19,18,South Coast,2261,1763,129,0,232,0,1763,-947.8738744,0.779743476,0.220256524,11.80652709
434,1400000US06037191203,6,37,191203,6037191203,1912.03,CT,205208,0,18037550502,1379632.843,19,18,South Coast,2655,1149,83,0,691,0,1149,-1573.285651,0.432768362,0.567231638,11.63710731
446,1400000US06037191820,6,37,191820,6037191820,1918.2,CT,404735,0,18037550502,1379632.843,19,18,South Coast,2688,1168,184,0,141,0,1168,-1529.229358,0.43452381,0.56547619,11.87093241
458,1400000US06037192700,6,37,192700,6037192700,1927,CT,531205,0,18037550502,1379632.843,19,18,South Coast,3326,1164,153,4,853,11,1164,-1540.919904,0.349969934,0.650030066,11.63710731
492,1400000US06037199202,6,37,199202,6037199202,1992.02,CT,954106,0,18037550502,1379632.843,19,18,South Coast,2735,1471,4,0,188,0,1471,-1270.884138,0.537842779,0.462157221,11.26367878
513,1400000US06037203300,6,37,203300,6037203300,2033,CT,1489010,2852,18037550502,1379632.843,19,18,South Coast,2104,1096,241,0,329,0,1096,-1587.088678,0.520912548,0.479087452,11.17887617
516,1400000US06037203710,6,37,203710,6037203710,2037.1,CT,282072,0,18037550502,1379632.843,19,18,South Coast,3247,2068,77,13,35,22,2068,-655.7741441,0.636895596,0.363104404,11.17887617
535,1400000US06037206020,6,37,206020,6037206020,2060.2,CT,843243,30290,18037550502,1379632.843,19,18,South Coast,7406,3096,2607,71,218,32,3096,999.8735928,0.418039427,0.581960573,11.24681191
562,1400000US06037208801,6,37,208801,6037208801,2088.01,CT,234245,34211,18037550502,1379632.843,19,18,South Coast,3421,823,189,0,722,12,823,-1872.988948,0.240572932,0.759427068,11.44048235
572,1400000US06037209401,6,37,209401,6037209401,2094.01,CT,215664,0,18037550502,1379632.843,19,18,South Coast,3866,1092,375,18,524,9,1092,-1557.845676,0.282462494,0.717537506,11.54996923
598,1400000US06037211921,6,37,211921,6037211921,2119.21,CT,92665,0,18037550502,1379632.843,19,18,South Coast,2178,638,88,18,819,0,819,-2083.045241,0.376033058,0.623966942,11.58756411
608,1400000US06037212306,6,37,212306,6037212306,2123.06,CT,161921,0,18037550502,1379632.843,19,18,South Coast,3263,492,17,0,1764,0,1764,-2246.659071,0.540606804,0.459393196,11.54996923
620,1400000US06037213201,6,37,213201,6037213201,2132.01,CT,334942,0,18037550502,1379632.843,19,18,South Coast,4576,386,82,0,2032,107,2032,-2336.533734,0.444055944,0.555944056,11.66151813
632,1400000US06037214600,6,37,214600,6037214600,2146,CT,581188,0,18037550502,1379632.843,19,18,South Coast,2706,2248,48,3,236,8,2248,-482.9685253,0.830746489,0.169253511,12.05149231
642,1400000US06037216401,6,37,216401,6037216401,2164.01,CT,409972,0,18037550502,1379632.843,19,18,South Coast,4850,3628,58,0,627,0,3628,899.5122958,0.748041237,0.251958763,12.1022156
666,1400000US06037219500,6,37,219500,6037219500,2195,CT,557587,0,18037550502,1379632.843,19,18,South Coast,1663,303,657,0,307,0,657,-2276.886521,0.395069152,0.604930848,11.83485746
679,1400000US06037221304,6,37,221304,6037221304,2213.04,CT,227251,0,18037550502,1379632.843,19,18,South Coast,3903,1339,647,27,570,0,1339,-1243.367342,0.343069434,0.656930566,11.66151813
694,1400000US06037222600,6,37,222600,6037222600,2226,CT,651938,0,18037550502,1379632.843,19,18,South Coast,5535,1269,1243,0,743,113,1269,-1165.510405,0.229268293,0.770731707,11.52126086
707,1400000US06037226410,6,37,226410,6037226410,2264.1,CT,282483,0,18037550502,1379632.843,19,18,South Coast,3529,1549,46,23,65,0,1549,-1182.46469,0.438934542,0.561065458,11.33071262
719,1400000US06037228500,6,37,228500,6037228500,2285,CT,448896,0,18037550502,1379632.843,19,18,South Coast,4855,1155,681,0,63,0,1155,-1418.93255,0.237899073,0.762100927,11.40581969
741,1400000US06037232110,6,37,232110,6037232110,2321.1,CT,380033,0,18037550502,1379632.843,19,18,South Coast,2845,651,713,0,2,0,713,-1914.993923,0.250615114,0.749384886,11.4960987
