AFFGEOID,Total,White,Black,AIndian,Asian,Hawaiian,Max,Diversity
1400000US06001400100,3385,2235,137,0,722,0,2235,0.660265879
1400000US06001400200,1939,1487,34,0,220,0,1487,0.76689015
1400000US06001400300,5428,3599,715,13,683,0,3599,0.663043478
1400000US06001400400,4279,2988,715,17,347,0,2988,0.698293994
1400000US06001400500,3516,2238,902,8,115,0,2238,0.636518771
1400000US06001400600,1750,683,638,15,85,0,683,0.390285714
1400000US06001400700,4396,1807,1952,73,114,0,1952,0.444040036
1400000US06001400800,3218,1452,1211,0,361,0,1452,0.451211933
1400000US06001400900,2031,1059,637,21,217,0,1059,0.521418021
1400000US06001401000,5505,1989,2270,12,203,88,2270,0.412352407
1400000US06001401100,4240,2414,951,5,515,0,2414,0.569339623
1400000US06001401200,2345,1458,277,4,242,33,1458,0.621748401
1400000US06001401300,3815,1337,1259,50,736,0,1337,0.350458716
1400000US06001401400,4297,1361,1924,68,486,25,1924,0.447754247
1400000US06001401500,2131,997,774,6,208,0,997,0.467855467
1400000US06001401600,1919,599,903,5,228,49,903,0.470557582
1400000US06001401700,2603,1038,753,0,282,0,1038,0.398770649
1400000US06001401800,1794,519,931,1,20,0,931,0.518952062
1400000US06001402200,2446,1059,932,0,289,70,1059,0.432951758
1400000US06001402400,2846,542,1677,30,233,0,1677,0.589248067
1400000US06001402500,1909,203,1202,17,178,0,1202,0.629649031
1400000US06001402600,1029,121,304,5,575,0,575,0.558794947
1400000US06001402700,1647,462,890,27,132,0,890,0.540376442
1400000US06001402800,3299,1076,1384,13,532,0,1384,0.419521067
1400000US06001402900,1399,365,182,54,706,0,706,0.504646176
1400000US06001403000,2471,197,92,65,2026,26,2026,0.819910967
1400000US06001403100,1782,566,289,26,686,9,686,0.384960718
1400000US06001403300,3785,1167,296,0,2015,0,2015,0.532364597
1400000US06001403400,4361,1621,869,38,1271,0,1621,0.371703738
1400000US06001403501,4495,1603,1388,55,1102,0,1603,0.356618465
1400000US06001403502,2018,1113,473,0,259,0,1113,0.551536174
1400000US06001403600,4398,1625,955,54,1057,4,1625,0.36948613
1400000US06001403701,2473,1499,476,0,316,0,1499,0.606146381
1400000US06001403702,1902,1271,141,0,284,35,1271,0.668243954
1400000US06001403800,3455,2409,288,0,436,0,2409,0.697250362
1400000US06001403900,3992,2111,894,11,663,0,2111,0.528807615
1400000US06001404000,2805,1833,182,0,321,0,1833,0.653475936
1400000US06001404101,2911,2237,47,5,327,0,2237,0.768464445
1400000US06001404102,2511,1471,216,20,599,0,1471,0.585822382
1400000US06001404200,3436,2425,259,0,514,19,2425,0.705762515
1400000US06001404300,3348,2410,184,0,486,18,2410,0.719832736
1400000US06001404400,5156,3645,170,0,909,0,3645,0.706943367
1400000US06001404501,1754,1339,54,0,182,0,1339,0.763397948
1400000US06001404502,5383,4417,222,0,433,0,4417,0.820546164
1400000US06001404600,4473,3177,289,27,606,34,3177,0.710261569
1400000US06001404700,2071,1637,135,5,211,0,1637,0.790439401
1400000US06001404800,2894,1220,647,16,599,20,1220,0.421561852
1400000US06001404900,4338,2407,565,15,855,22,2407,0.554863993
1400000US06001405000,3403,2219,393,20,473,0,2219,0.652071701
1400000US06001405100,4084,2907,442,31,383,0,2907,0.711802155
1400000US06001405200,4521,2128,591,52,1022,39,2128,0.470692325
1400000US06001405301,2659,1315,635,7,394,0,1315,0.494546822
1400000US06001405302,2714,750,513,8,897,0,897,0.330508475
1400000US06001405401,4324,901,941,45,1545,6,1545,0.357308048
1400000US06001405402,2774,573,650,28,1334,108,1334,0.480894016
1400000US06001405500,3901,1097,605,57,1614,0,1614,0.413740067
1400000US06001405600,3203,868,838,22,1254,0,1254,0.391507961
1400000US06001405700,3366,668,1410,9,929,0,1410,0.418894831
1400000US06001405800,3924,559,830,13,1670,216,1670,0.425586137
1400000US06001405901,3820,682,623,245,1695,0,1695,0.443717277
1400000US06001405902,3521,793,442,3,1458,85,1458,0.414086907
1400000US06001406000,3258,666,656,49,1340,0,1340,0.411295273
1400000US06001406100,4901,2058,375,32,667,9,2058,0.419914303
1400000US06001406201,4230,1354,733,20,1207,90,1354,0.320094563
1400000US06001406202,4534,2140,475,243,454,166,2140,0.471989413
1400000US06001406300,4399,1134,948,0,1603,0,1603,0.364401
1400000US06001406400,2305,664,669,20,693,0,693,0.300650759
1400000US06001406500,5950,2321,1050,7,1505,8,2321,0.390084034
1400000US06001406601,4987,952,1802,24,1452,5,1802,0.361339483
1400000US06001406602,2591,879,421,101,861,0,879,0.339251254
1400000US06001406700,5039,3126,451,17,951,0,3126,0.620361183
1400000US06001406800,3621,1643,608,37,921,22,1643,0.45374206
1400000US06001406900,3861,1754,923,24,791,7,1754,0.454286454
1400000US06001407000,5729,1065,1377,18,2293,0,2293,0.400244371
1400000US06001407101,3882,1565,434,27,1039,0,1565,0.40314271
1400000US06001407102,4492,2189,969,0,768,131,2189,0.487310775
1400000US06001407200,6433,3172,481,83,896,11,3172,0.493082543
1400000US06001407300,2558,1074,278,96,471,6,1074,0.419859265
1400000US06001407400,4360,1485,675,4,457,0,1485,0.34059633
1400000US06001407500,3735,1066,1325,45,167,0,1325,0.354752343
1400000US06001407600,5785,1304,2787,0,736,48,2787,0.481763181
1400000US06001407700,4373,1432,2303,12,113,27,2303,0.52664075
1400000US06001407800,2737,958,889,0,415,0,958,0.350018268
1400000US06001407900,2857,1363,472,8,442,85,1363,0.477073854
1400000US06001408000,2791,1507,438,9,543,4,1507,0.539949839
1400000US06001408100,6463,2681,1821,33,1299,0,2681,0.414822838
1400000US06001408200,4106,852,2186,79,268,36,2186,0.532391622
1400000US06001408300,4714,1628,1919,17,200,28,1919,0.407085278
1400000US06001408400,3536,709,1670,16,0,149,1670,0.472285068
1400000US06001408500,5658,779,2290,88,222,164,2290,0.404736656
1400000US06001408600,6466,1875,2453,43,422,0,2453,0.379369007
1400000US06001408700,7440,2237,3303,0,186,0,3303,0.443951613
1400000US06001408800,6181,1247,2085,72,355,71,2085,0.337324058
1400000US06001408900,3245,1235,1111,10,64,18,1235,0.380585516
1400000US06001409000,4037,1122,1494,0,195,74,1494,0.37007679
1400000US06001409100,2223,658,898,0,70,115,898,0.403958614
1400000US06001409200,3182,762,1237,153,262,0,1237,0.388749214
1400000US06001409300,5093,1700,1394,146,151,29,1700,0.333791478
1400000US06001409400,4508,1633,1207,18,357,0,1633,0.362244898
1400000US06001409500,4057,1318,978,80,111,49,1318,0.324870594
1400000US06001409600,5004,1305,1556,0,84,0,1556,0.310951239
1400000US06001409700,5285,1684,2375,29,175,82,2375,0.449385052
1400000US06001409800,2887,295,1707,0,192,0,1707,0.591271216
1400000US06001409900,3321,1134,1527,0,268,0,1527,0.459801265
1400000US06001410000,3260,1199,1323,0,179,0,1323,0.405828221
1400000US06001410100,3044,998,1634,4,140,0,1634,0.536793693
1400000US06001410200,2976,1009,1410,0,23,0,1410,0.473790323
1400000US06001410300,3523,1168,1009,48,85,149,1168,0.331535623
1400000US06001410400,4093,1129,1718,0,508,10,1718,0.419741021
1400000US06001410500,2335,178,1402,0,504,7,1402,0.600428266
1400000US06001420100,2356,1756,77,9,319,0,1756,0.74533107
1400000US06001420200,3131,1760,234,8,713,121,1760,0.562120728
1400000US06001420300,4733,1985,282,30,1794,0,1985,0.419395732
1400000US06001420400,3700,1511,151,125,1436,26,1511,0.408378378
1400000US06001420500,2344,1333,171,0,587,0,1333,0.568686007
1400000US06001420600,2756,1954,108,41,421,0,1954,0.708998549
1400000US06001421100,2108,1615,22,0,300,9,1615,0.766129032
1400000US06001421200,3672,3014,8,36,414,0,3014,0.8208061
1400000US06001421300,4093,3340,128,0,353,10,3340,0.816027364
1400000US06001421400,1721,1434,62,0,149,9,1434,0.83323649
1400000US06001421500,3793,3210,87,0,243,0,3210,0.846295808
1400000US06001421600,3502,2877,40,0,460,0,2877,0.821530554
1400000US06001421700,3660,2409,122,12,758,0,2409,0.658196721
1400000US06001421800,2211,1866,28,17,137,0,1866,0.843962008
1400000US06001421900,3799,2503,325,12,669,0,2503,0.658857594
1400000US06001422000,1806,1120,322,0,118,0,1120,0.620155039
1400000US06001422100,2284,1574,203,24,283,0,1574,0.689141856
1400000US06001422200,3339,2294,203,11,505,40,2294,0.687032046
1400000US06001422300,3888,2625,200,0,655,44,2625,0.675154321
1400000US06001422400,4265,2258,61,0,1691,0,2258,0.529425557
1400000US06001422500,4332,2616,197,0,1023,8,2616,0.603878116
1400000US06001422600,718,389,2,0,274,0,389,0.54178273
1400000US06001422700,4467,2459,172,13,1342,0,2459,0.550481307
1400000US06001422800,8154,3337,246,80,3478,0,3478,0.426539122
1400000US06001422900,4437,2048,423,0,1604,0,2048,0.461573135
1400000US06001423000,5045,3377,449,13,792,0,3377,0.669375619
1400000US06001423100,4015,2403,456,15,763,0,2403,0.598505604
1400000US06001423200,2753,1546,414,12,167,48,1546,0.561569197
1400000US06001423300,3930,1798,1342,88,445,15,1798,0.457506361
1400000US06001423400,5106,2805,813,6,847,0,2805,0.549353702
1400000US06001423500,3156,1947,478,34,346,0,1947,0.616920152
1400000US06001423601,2745,2195,23,0,311,0,2195,0.799635701
1400000US06001423602,6079,2659,289,6,2722,42,2722,0.447771015
1400000US06001423700,3981,2854,50,44,758,0,2854,0.7169053
1400000US06001423800,3050,2476,11,0,422,22,2476,0.811803279
1400000US06001423901,1886,1260,359,26,116,0,1260,0.668080594
1400000US06001423902,1404,1185,52,7,77,0,1185,0.844017094
1400000US06001424001,3999,1637,1394,16,355,11,1637,0.409352338
1400000US06001424002,2290,895,872,20,130,0,895,0.390829694
1400000US06001425101,1519,929,123,8,432,0,929,0.61158657
1400000US06001425102,2754,1142,342,6,1093,0,1142,0.414669572
1400000US06001425103,2894,1506,323,101,634,0,1506,0.520387008
1400000US06001425104,3330,1448,860,14,598,0,1448,0.434834835
1400000US06001426100,6165,4559,29,13,1171,12,4559,0.739497161
1400000US06001426200,4792,3584,46,0,816,0,3584,0.747913189
1400000US06001427100,3567,2575,192,0,472,57,2575,0.72189515
1400000US06001427200,4219,2064,227,13,878,198,2064,0.489215454
1400000US06001427300,4809,1926,558,35,1681,52,1926,0.400499064
1400000US06001427600,5543,1475,1098,9,2223,0,2223,0.401046365
1400000US06001427700,4709,2487,412,0,1101,12,2487,0.528137609
1400000US06001427800,4847,3146,441,39,810,14,3146,0.649061275
1400000US06001427900,4859,2973,232,9,1074,0,2973,0.611854291
1400000US06001428000,3389,1319,154,0,1451,0,1451,0.428149897
1400000US06001428100,4984,3159,110,17,958,19,3159,0.63382825
1400000US06001428200,6691,3765,444,0,1873,24,3765,0.562696159
1400000US06001428301,6208,2539,134,14,3038,0,3038,0.489368557
1400000US06001428302,6984,3179,190,0,3056,76,3179,0.455183276
1400000US06001428400,4549,2483,309,28,1229,0,2483,0.545834249
1400000US06001428500,3532,1559,205,39,1189,6,1559,0.441392978
1400000US06001428600,2973,1270,306,21,1121,0,1270,0.427177935
1400000US06001428700,3900,1288,597,37,1464,51,1464,0.375384615
1400000US06001430101,6744,2783,301,10,3184,15,3184,0.472123369
1400000US06001430102,2140,1363,116,8,495,0,1363,0.636915888
1400000US06001430200,6761,4928,90,32,1236,40,4928,0.728886259
1400000US06001430300,3777,2273,737,33,426,33,2273,0.601800371
1400000US06001430400,2128,1386,59,3,439,8,1386,0.651315789
1400000US06001430500,6247,3324,845,35,1029,150,3324,0.532095406
1400000US06001430600,5842,3321,170,0,1704,120,3321,0.568469702
1400000US06001430700,3800,2810,82,0,627,3,2810,0.739473684
1400000US06001430800,6023,3982,102,30,1388,19,3982,0.661132326
1400000US06001430900,4870,2733,703,30,649,58,2733,0.561190965
1400000US06001431000,2872,1999,38,0,522,70,1999,0.696030641
1400000US06001431100,3084,1809,332,0,347,35,1809,0.586575875
1400000US06001431200,5562,3778,319,62,913,9,3778,0.679252068
1400000US06001432100,3732,1826,688,8,493,52,1826,0.489281886
1400000US06001432200,4005,2263,658,13,400,16,2263,0.565043695
1400000US06001432300,4560,1792,471,34,1423,10,1792,0.392982456
1400000US06001432400,5718,2715,754,8,1638,93,2715,0.474816369
1400000US06001432501,5007,2001,189,84,2209,32,2209,0.441182345
1400000US06001432502,4609,1536,663,3,1756,51,1756,0.380993708
1400000US06001432600,7610,2777,1161,97,1864,512,2777,0.364914586
1400000US06001432700,2501,1684,129,0,423,8,1684,0.673330668
1400000US06001432800,3061,1877,204,5,762,0,1877,0.613198301
1400000US06001433000,3586,2011,330,13,826,8,2011,0.560791969
1400000US06001433102,3736,1453,226,33,1738,42,1738,0.465203426
1400000US06001433103,4419,2134,819,55,706,39,2134,0.482914687
1400000US06001433104,3934,1701,746,22,733,32,1701,0.432384342
1400000US06001433200,7097,2557,1259,45,2703,0,2703,0.380865154
1400000US06001433300,7064,2990,467,79,3028,0,3028,0.428652322
1400000US06001433400,6381,1941,563,14,3309,8,3309,0.518570757
1400000US06001433500,4788,2123,143,324,1448,80,2123,0.443400167
1400000US06001433600,6021,2115,295,24,2691,83,2691,0.446935725
1400000US06001433700,3338,1910,424,7,423,37,1910,0.572198922
1400000US06001433800,8042,3719,1134,0,2547,71,3719,0.462447152
1400000US06001433900,6872,3317,2030,76,491,65,3317,0.482683353
1400000US06001434000,5317,2490,983,57,730,0,2490,0.468309197
1400000US06001435102,5190,2509,545,4,1105,76,2509,0.483429672
1400000US06001435103,6507,2325,532,0,3079,26,3079,0.473182726
1400000US06001435104,5370,1975,624,50,1466,161,1975,0.367783985
1400000US06001435200,4533,2125,1227,45,571,38,2125,0.468784469
1400000US06001435300,4185,2004,971,27,481,30,2004,0.478853047
1400000US06001435400,4356,2475,894,8,593,26,2475,0.568181818
1400000US06001435500,3337,1976,195,3,486,38,1976,0.592148636
1400000US06001435601,5270,2861,322,4,226,489,2861,0.54288425
1400000US06001435602,5578,3447,366,4,652,103,3447,0.617963428
1400000US06001435700,4411,2119,378,31,691,0,2119,0.480389934
1400000US06001435800,5224,2919,113,10,1509,68,2919,0.558767228
1400000US06001435900,5556,2809,515,0,1278,14,2809,0.505579554
1400000US06001436000,4479,2550,147,30,889,69,2550,0.56932351
1400000US06001436100,6044,2677,289,227,1782,9,2677,0.442918597
1400000US06001436200,4107,1949,667,12,258,61,1949,0.474555637
1400000US06001436300,7473,2931,1213,104,1400,94,2931,0.392211963
1400000US06001436401,7809,4211,1128,0,1136,0,4211,0.539249584
1400000US06001436402,2741,1471,465,38,263,7,1471,0.536665451
1400000US06001436500,4536,1652,853,100,889,131,1652,0.364197531
1400000US06001436601,6223,2535,789,20,646,167,2535,0.407359794
1400000US06001436602,5346,1838,1104,13,1107,28,1838,0.343808455
1400000US06001436700,3680,1094,366,0,1106,0,1106,0.300543478
1400000US06001436800,4148,1479,663,37,842,0,1479,0.356557377
1400000US06001436900,6577,3096,237,206,908,86,3096,0.470731336
1400000US06001437000,3182,1488,601,56,631,136,1488,0.467630421
1400000US06001437101,6283,1818,307,0,3389,135,3389,0.53939201
1400000US06001437102,4234,1193,533,0,1514,29,1514,0.357581483
1400000US06001437200,7458,2449,1012,57,2580,7,2580,0.345937249
1400000US06001437300,3331,1102,506,77,794,269,1102,0.330831582
1400000US06001437400,3187,1536,41,15,649,150,1536,0.481957954
1400000US06001437500,4444,2040,233,10,585,164,2040,0.459045905
1400000US06001437600,3957,1829,379,0,637,148,1829,0.462218853
1400000US06001437701,3832,1490,375,17,404,345,1490,0.388830898
1400000US06001437702,5013,2471,356,117,388,123,2471,0.492918412
1400000US06001437800,4585,1105,502,20,1141,181,1141,0.248854962
1400000US06001437900,2225,812,281,24,296,102,812,0.36494382
1400000US06001438000,3307,1960,22,9,671,0,1960,0.592682189
1400000US06001438100,7261,2745,843,0,1946,219,2745,0.378047101
1400000US06001438201,5071,2265,344,0,1100,146,2265,0.446657464
1400000US06001438203,4384,977,395,18,2021,126,2021,0.460994526
1400000US06001438204,5338,1930,410,31,2294,107,2294,0.42974897
1400000US06001438300,4133,1351,410,5,1384,107,1384,0.334865715
1400000US06001438400,2476,999,318,3,795,31,999,0.403473344
1400000US06001440100,2503,1033,113,0,973,10,1033,0.412704754
1400000US06001440200,6167,1483,191,0,922,65,1483,0.240473488
1400000US06001440301,6870,2160,609,80,2436,17,2436,0.354585153
1400000US06001440304,5106,783,230,48,3178,67,3178,0.622405014
1400000US06001440305,4020,795,330,45,2019,258,2019,0.502238806
1400000US06001440306,3934,539,214,53,2517,75,2517,0.639806812
1400000US06001440307,4038,1550,199,26,1973,0,1973,0.488608222
1400000US06001440308,5562,1297,263,16,2467,23,2467,0.443545487
1400000US06001440331,3619,571,210,5,2160,81,2160,0.596849959
1400000US06001440332,3565,395,51,9,2539,183,2539,0.712201964
1400000US06001440333,2811,500,223,11,1796,19,1796,0.638918534
1400000US06001440334,4433,736,198,0,2583,73,2583,0.582675389
1400000US06001440335,6744,1235,101,66,4160,58,4160,0.616844603
1400000US06001440336,4955,1188,585,12,2436,57,2436,0.491624622
1400000US06001441100,4152,1946,80,40,1328,13,1946,0.468689788
1400000US06001441200,7398,3338,475,72,2769,0,3338,0.451203028
1400000US06001441301,3203,939,319,7,1653,0,1653,0.516078676
1400000US06001441302,5435,2123,201,71,2316,18,2316,0.426126955
1400000US06001441401,7336,2200,287,20,3616,240,3616,0.492911668
1400000US06001441402,5229,1521,127,103,2800,0,2800,0.535475234
1400000US06001441501,6633,675,546,38,4766,69,4766,0.718528569
1400000US06001441503,6173,450,174,18,5107,68,5107,0.82731249
1400000US06001441521,6173,1227,260,18,4239,0,4239,0.686700146
1400000US06001441522,5157,1400,285,37,2804,11,2804,0.543726973
1400000US06001441523,4008,507,174,40,2916,32,2916,0.72754491
1400000US06001441524,4336,345,189,66,3583,58,3583,0.826337638
1400000US06001441601,4815,2017,191,15,1612,160,2017,0.418899273
1400000US06001441602,7882,1994,540,0,2976,48,2976,0.377569145
1400000US06001441700,7628,2624,522,44,2411,41,2624,0.343995805
1400000US06001441800,7065,2729,97,105,3073,15,3073,0.434961076
1400000US06001441921,3842,1179,180,66,1631,0,1631,0.42451848
1400000US06001441923,5452,1207,270,0,3429,0,3429,0.628943507
1400000US06001441924,7274,3016,35,43,3399,0,3399,0.467280726
1400000US06001441925,6042,1344,183,84,3579,9,3579,0.592353525
1400000US06001441926,4220,946,201,12,1599,39,1599,0.378909953
1400000US06001441927,4257,612,285,0,2816,0,2816,0.661498708
1400000US06001442000,3226,791,4,0,2211,11,2211,0.685368878
1400000US06001442100,4988,1014,35,37,3693,0,3693,0.740376905
1400000US06001442200,6702,1614,45,0,4631,0,4631,0.690987765
1400000US06001442301,4552,1377,316,35,2250,0,2250,0.494288225
1400000US06001442302,5426,1628,427,29,2611,12,2611,0.481201622
1400000US06001442400,6947,2514,283,57,2360,78,2514,0.361882827
1400000US06001442500,7614,2782,496,80,3141,99,3141,0.412529551
1400000US06001442601,3606,1678,130,0,1179,0,1678,0.465335552
1400000US06001442602,4926,2077,254,9,1576,38,2077,0.421640276
1400000US06001442700,3180,1774,31,44,956,0,1774,0.557861635
